location_id,name
L001,Sector 4 Logistics Warehouse (Location_A)
L002,Terminal 2 Safehouse Facility (Location_B)
L003,Northern Expressway Toll Checkpoint
L004,Financial District Escrow Tower
L005,Industrial Port Berth 9 (Location_C)
L006,Location_Site_006
L007,Location_Site_007
L008,Location_Site_008
L009,Location_Site_009
L010,Location_Site_010
L011,Location_Site_011
L012,Location_Site_012
L013,Location_Site_013
L014,Location_Site_014
L015,Location_Site_015
L016,Location_Site_016
L017,Location_Site_017
L018,Location_Site_018
L019,Location_Site_019
L020,Location_Site_020
L021,Location_Site_021
L022,Location_Site_022
L023,Location_Site_023
L024,Location_Site_024
L025,Location_Site_025
L026,Location_Site_026
L027,Location_Site_027
L028,Location_Site_028
L029,Location_Site_029
L030,Location_Site_030
L031,Location_Site_031
L032,Location_Site_032
L033,Location_Site_033
L034,Location_Site_034
L035,Location_Site_035
L036,Location_Site_036
L037,Location_Site_037
L038,Location_Site_038
L039,Location_Site_039
L040,Location_Site_040
L041,Location_Site_041
L042,Location_Site_042
L043,Location_Site_043
L044,Location_Site_044
L045,Location_Site_045
L046,Location_Site_046
L047,Location_Site_047
L048,Location_Site_048
L049,Location_Site_049
L050,Location_Site_050
L051,Location_Site_051
L052,Location_Site_052
L053,Location_Site_053
L054,Location_Site_054
L055,Location_Site_055
L056,Location_Site_056
L057,Location_Site_057
L058,Location_Site_058
L059,Location_Site_059
L060,Location_Site_060
L061,Location_Site_061
L062,Location_Site_062
L063,Location_Site_063
L064,Location_Site_064
L065,Location_Site_065
L066,Location_Site_066
L067,Location_Site_067
L068,Location_Site_068
L069,Location_Site_069
L070,Location_Site_070
L071,Location_Site_071
L072,Location_Site_072
L073,Location_Site_073
L074,Location_Site_074
L075,Location_Site_075
L076,Location_Site_076
L077,Location_Site_077
L078,Location_Site_078
L079,Location_Site_079
L080,Location_Site_080
L081,Location_Site_081
L082,Location_Site_082
L083,Location_Site_083
L084,Location_Site_084
L085,Location_Site_085
L086,Location_Site_086
L087,Location_Site_087
L088,Location_Site_088
L089,Location_Site_089
L090,Location_Site_090
L091,Location_Site_091
L092,Location_Site_092
L093,Location_Site_093
L094,Location_Site_094
L095,Location_Site_095
L096,Location_Site_096
L097,Location_Site_097
L098,Location_Site_098
L099,Location_Site_099
L100,Location_Site_100
